date,mean_temperature_f,precipitation_inches,mean_wind_speed_mph,zip_code,mean_humidity,mean_visibility_miles
1/1/2015,47,0,8,94107,37,10
1/2/2015,41,0,4,94107,64,10
1/3/2015,43,0,2,94107,66,10
1/4/2015,45,0,3,94107,72,8
1/5/2015,46,0,3,94107,68,9
1/6/2015,49,0,2,94107,72,8
1/7/2015,51,0,2,94107,69,10
1/8/2015,52,0,2,94107,76,8
1/9/2015,55,0,4,94107,74,7
1/10/2015,54,0,3,94107,83,7
1/11/2015,50,0,3,94107,87,6
1/12/2015,49,0,2,94107,87,7
1/13/2015,55,0,3,94107,69,6
1/14/2015,49,0,3,94107,78,7
1/15/2015,50,0,4,94107,84,4
1/16/2015,50,T,3,94107,84,4
1/17/2015,53,0,5,94107,84,7
1/18/2015,57,0,4,94107,87,5
1/19/2015,55,0,5,94107,77,9
1/20/2015,52,0,2,94107,86,6
1/21/2015,51,0,5,94107,73,10
1/22/2015,51,0,6,94107,73,9
1/23/2015,52,0,3,94107,66,9
1/24/2015,58,0,7,94107,63,9
1/25/2015,50,0,4,94107,70,10
1/26/2015,51,0,3,94107,72,10
1/27/2015,57,0,4,94107,64,10
1/28/2015,53,0,3,94107,73,10
1/29/2015,53,0,3,94107,81,8
1/30/2015,54,0,5,94107,87,8
1/31/2015,59,0,4,94107,61,10
2/1/2015,53,0,3,94107,62,10
2/2/2015,54,0,3,94107,83,8
2/3/2015,57,0,3,94107,76,9
2/4/2015,55,0,5,94107,86,6
2/5/2015,56,0,6,94107,75,10
2/6/2015,61,0.91,22,94107,77,6
2/7/2015,59,0.03,6,94107,89,9
2/8/2015,58,0.99,15,94107,83,8
2/9/2015,57,T,8,94107,78,10
2/10/2015,54,0,4,94107,71,10
2/11/2015,53,0,3,94107,78,10
2/12/2015,58,0,2,94107,68,10
2/13/2015,58,0,3,94107,70,10
2/14/2015,59,0,4,94107,75,10
2/15/2015,58,0,3,94107,67,10
2/16/2015,59,0,6,94107,73,9
2/17/2015,56,T,6,94107,80,8
2/18/2015,57,0,5,94107,79,10
2/19/2015,56,0,5,94107,84,8
2/20/2015,59,T,3,94107,73,8
2/21/2015,57,0,5,94107,67,10
2/22/2015,56,0,8,94107,61,9
2/23/2015,54,0,7,94107,35,10
2/24/2015,50,0,5,94107,58,10
2/25/2015,55,0,5,94107,70,10
2/26/2015,56,0,6,94107,76,9
2/27/2015,56,0,19,94107,68,10
2/28/2015,52,0.07,7,94107,74,10
3/1/2015,54,0,7,94107,64,10
3/2/2015,52,T,5,94107,69,10
3/3/2015,53,0,5,94107,71,10
3/4/2015,54,0,4,94107,61,10
3/5/2015,56,0,4,94107,57,10
3/6/2015,57,0,4,94107,60,10
3/7/2015,58,0,6,94107,65,10
3/8/2015,55,0,7,94107,77,8
3/9/2015,57,0,6,94107,82,9
3/10/2015,56,0,5,94107,86,5
3/11/2015,58,0.02,5,94107,72,10
3/12/2015,60,0,5,94107,72,10
3/13/2015,61,0,4,94107,66,10
3/14/2015,66,0,5,94107,66,10
3/15/2015,62,0,5,94107,62,10
3/16/2015,61,0,5,94107,66,10
3/17/2015,59,0,9,94107,69,10
3/18/2015,58,0,6,94107,71,10
3/19/2015,60,0,6,94107,64,10
3/20/2015,57,0,6,94107,71,10
3/21/2015,63,0,6,94107,70,10
3/22/2015,60,0.02,9,94107,78,10
3/23/2015,59,0.05,10,94107,71,10
3/24/2015,59,T,7,94107,73,10
3/25/2015,60,0,6,94107,70,10
3/26/2015,65,0,5,94107,68,10
3/27/2015,58,0,9,94107,82,10
3/28/2015,61,0,6,94107,69,10
3/29/2015,60,0,6,94107,67,10
3/30/2015,56,0,8,94107,75,10
3/31/2015,62,0,16,94107,64,10
4/1/2015,55,0,9,94107,56,10
4/2/2015,59,0,10,94107,52,10
4/3/2015,56,0,8,94107,63,10
4/4/2015,54,0,11,94107,67,10
4/5/2015,54,0.11,11,94107,69,9
4/6/2015,54,0,13,94107,63,10
4/7/2015,55,0.52,15,94107,72,8
4/8/2015,55,0.01,8,94107,65,10
4/9/2015,55,0,6,94107,63,10
4/10/2015,56,0,7,94107,63,10
4/11/2015,60,0,7,94107,70,10
4/12/2015,61,0,6,94107,70,10
4/13/2015,56,0,15,94107,72,10
4/14/2015,57,0,13,94107,48,10
4/15/2015,59,0,8,94107,50,10
4/16/2015,65,0,8,94107,47,10
4/17/2015,60,0,7,94107,63,10
4/18/2015,58,0,9,94107,69,10
4/19/2015,56,0,9,94107,77,9
4/20/2015,58,0,12,94107,72,10
4/21/2015,57,T,14,94107,74,10
4/22/2015,59,0,9,94107,73,10
4/23/2015,58,0,10,94107,70,10
4/24/2015,58,0.08,19,94107,69,10
4/25/2015,57,0.14,15,94107,77,9
4/26/2015,58,0,7,94107,63,10
4/27/2015,66,T,9,94107,64,10
4/28/2015,58,0,9,94107,77,10
4/29/2015,59,0,8,94107,69,9
4/30/2015,67,0,6,94107,55,10
5/1/2015,65,0,9,94107,71,10
5/2/2015,59,0,9,94107,75,10
5/3/2015,58,0,11,94107,68,10
5/4/2015,55,0,11,94107,73,10
5/5/2015,57,0,11,94107,72,10
5/6/2015,58,0,9,94107,68,10
5/7/2015,57,T,6,94107,64,10
5/8/2015,56,0,9,94107,71,10
5/9/2015,58,0,11,94107,72,10
5/10/2015,57,0,9,94107,75,10
5/11/2015,57,0,14,94107,72,10
5/12/2015,58,0,18,94107,60,10
5/13/2015,57,0,12,94107,63,10
5/14/2015,60,T,9,94107,67,10
5/15/2015,57,0,13,94107,70,10
