date,events,zip_code
1/1/15,,94107
1/2/15,,94107
1/3/15,,94107
1/4/15,,94107
1/5/15,,94107
1/6/15,,94107
1/7/15,,94107
1/8/15,,94107
1/9/15,,94107
1/10/15,Fog,94107
1/11/15,Fog,94107
1/12/15,Fog,94107
1/13/15,Fog,94107
1/14/15,,94107
1/15/15,Fog,94107
1/16/15,Fog-Rain,94107
1/17/15,,94107
1/18/15,Fog,94107
1/19/15,,94107
1/20/15,Fog,94107
1/21/15,,94107
1/22/15,,94107
1/23/15,,94107
1/24/15,,94107
1/25/15,,94107
1/26/15,,94107
1/27/15,,94107
1/28/15,Fog,94107
1/29/15,Fog,94107
1/30/15,Fog,94107
1/31/15,Fog,94107
2/1/15,,94107
2/2/15,,94107
2/3/15,,94107
2/4/15,Fog,94107
2/5/15,,94107
2/6/15,Rain,94107
2/7/15,Rain,94107
2/8/15,Rain,94107
2/9/15,,94107
2/10/15,Fog,94107
2/11/15,,94107
2/12/15,,94107
2/13/15,,94107
2/14/15,,94107
2/15/15,,94107
2/16/15,,94107
2/17/15,,94107
2/18/15,,94107
2/19/15,,94107
2/20/15,,94107
2/21/15,,94107
2/22/15,Fog,94107
2/23/15,,94107
2/24/15,Fog,94107
2/25/15,,94107
2/26/15,,94107
2/27/15,,94107
2/28/15,Rain-Thunderstorm,94107
3/1/15,,94107
3/2/15,,94107
3/3/15,,94107
3/4/15,,94107
3/5/15,,94107
3/6/15,,94107
3/7/15,,94107
3/8/15,Fog,94107
3/9/15,,94107
3/10/15,Fog,94107
3/11/15,Rain,94107
3/12/15,,94107
3/13/15,,94107
3/14/15,,94107
3/15/15,,94107
3/16/15,,94107
3/17/15,,94107
3/18/15,,94107
3/19/15,,94107
3/20/15,,94107
3/21/15,,94107
3/22/15,Rain,94107
3/23/15,,94107
3/24/15,,94107
3/25/15,,94107
3/26/15,,94107
3/27/15,Fog,94107
3/28/15,,94107
3/29/15,,94107
3/30/15,,94107
3/31/15,,94107
4/1/15,,94107
4/2/15,,94107
4/3/15,,94107
4/4/15,,94107
4/5/15,Rain,94107
4/6/15,,94107
4/7/15,Rain,94107
4/8/15,Rain,94107
4/9/15,,94107
4/10/15,,94107
4/11/15,,94107
4/12/15,,94107
4/13/15,,94107
4/14/15,,94107
4/15/15,,94107
4/16/15,,94107
4/17/15,,94107
4/18/15,,94107
4/19/15,,94107
4/20/15,,94107
4/21/15,,94107
4/22/15,,94107
4/23/15,,94107
4/24/15,Rain,94107
4/25/15,Rain,94107
4/26/15,,94107
4/27/15,,94107
4/28/15,,94107
4/29/15,,94107
4/30/15,,94107
5/1/15,,94107
5/2/15,,94107
5/3/15,,94107
5/4/15,,94107
5/5/15,,94107
5/6/15,,94107
5/7/15,Rain,94107
5/8/15,,94107
5/9/15,,94107
5/10/15,,94107
5/11/15,,94107
5/12/15,,94107
5/13/15,,94107
5/14/15,Rain,94107
5/15/15,,94107
5/16/15,,94107
5/17/15,,94107
5/18/15,,94107
5/19/15,,94107
5/20/15,Rain,94107
5/21/15,Rain,94107
5/22/15,,94107
5/23/15,,94107
5/24/15,,94107
5/25/15,,94107
5/26/15,Rain,94107
5/27/15,,94107
5/28/15,,94107
5/29/15,,94107
5/30/15,,94107
5/31/15,,94107
6/1/15,Rain,94107
6/2/15,,94107
6/3/15,,94107
6/4/15,,94107
6/5/15,,94107
6/6/15,,94107
6/7/15,,94107
6/8/15,,94107
6/9/15,,94107
6/10/15,Fog-Rain,94107
6/11/15,,94107
6/12/15,,94107
6/13/15,,94107
6/14/15,,94107
6/15/15,,94107
6/16/15,,94107
6/17/15,,94107
6/18/15,,94107
6/19/15,,94107
6/20/15,,94107
6/21/15,,94107
6/22/15,,94107
6/23/15,,94107
6/24/15,,94107
6/25/15,,94107
6/26/15,,94107
6/27/15,,94107
6/28/15,,94107
6/29/15,,94107
6/30/15,,94107
7/1/15,,94107
7/2/15,,94107
7/3/15,,94107
7/4/15,,94107
7/5/15,,94107
7/6/15,Rain,94107
7/7/15,,94107
7/8/15,,94107
7/9/15,Rain,94107
7/10/15,,94107
7/11/15,,94107
7/12/15,,94107
7/13/15,,94107
7/14/15,,94107
7/15/15,,94107
7/16/15,,94107
7/17/15,,94107
7/18/15,,94107
7/19/15,,94107
7/20/15,,94107
7/21/15,,94107
7/22/15,,94107
7/23/15,,94107
7/24/15,,94107
7/25/15,,94107
7/26/15,,94107
7/27/15,,94107
7/28/15,,94107
7/29/15,,94107
7/30/15,,94107
7/31/15,,94107
8/1/15,,94107
8/2/15,,94107
8/3/15,,94107
8/4/15,,94107
8/5/15,,94107
8/6/15,Rain-Thunderstorm,94107
8/7/15,,94107
8/8/15,,94107
8/9/15,,94107
8/10/15,,94107
8/11/15,,94107
8/12/15,,94107
8/13/15,,94107
8/14/15,,94107
8/15/15,,94107
8/16/15,,94107
8/17/15,,94107
8/18/15,,94107
8/19/15,,94107
8/20/15,,94107
8/21/15,,94107
8/22/15,,94107
8/23/15,,94107
8/24/15,,94107
8/25/15,,94107
8/26/15,,94107
8/27/15,,94107
8/28/15,,94107
8/29/15,Rain,94107
8/30/15,,94107
8/31/15,,94107
1/1/15,,94063
1/2/15,,94063
1/3/15,,94063
1/4/15,,94063
1/5/15,,94063
1/6/15,,94063
1/7/15,,94063
1/8/15,,94063
1/9/15,,94063
1/10/15,,94063
1/11/15,,94063
1/12/15,,94063
1/13/15,,94063
1/14/15,,94063
1/15/15,,94063
1/16/15,,94063
1/17/15,,94063
1/18/15,,94063
1/19/15,Fog,94063
1/20/15,Fog,94063
1/21/15,,94063
1/22/15,,94063
1/23/15,,94063
1/24/15,,94063
1/25/15,,94063
1/26/15,,94063
1/27/15,,94063
1/28/15,,94063
1/29/15,Fog,94063
1/30/15,Fog,94063
1/31/15,,94063
2/1/15,,94063
2/2/15,,94063
2/3/15,,94063
2/4/15,,94063
2/5/15,,94063
2/6/15,Rain,94063
2/7/15,Rain,94063
2/8/15,Rain,94063
2/9/15,,94063
2/10/15,,94063
2/11/15,,94063
2/12/15,,94063
2/13/15,,94063
2/14/15,,94063
2/15/15,,94063
2/16/15,,94063
2/17/15,,94063
2/18/15,,94063
2/19/15,,94063
2/20/15,,94063
2/21/15,,94063
2/22/15,,94063
2/23/15,,94063
2/24/15,,94063
2/25/15,,94063
2/26/15,,94063
2/27/15,,94063
2/28/15,,94063
3/1/15,,94063
3/2/15,,94063
3/3/15,,94063
3/4/15,,94063
3/5/15,,94063
3/6/15,,94063
3/7/15,,94063
3/8/15,,94063
3/9/15,,94063
3/10/15,,94063
3/11/15,Rain,94063
3/12/15,,94063
3/13/15,,94063
3/14/15,,94063
3/15/15,,94063
